總分類,子分類,注音,漢語拼音,臺1,臺2,臺3,陸1,陸2,陸3,香1,香2,香3,澳1,澳2,澳3,差異說明
食,食材食品,,,三明治,,,三明治,三文治,,三文治,,,三文治,,,
食,食材食品,ㄎㄡˇ　ㄒㄧㄤ　ㄊㄤˊ,kǒu xiāng tang,口香糖,,,口香糖,香口膠,口膠,香口膠,,,香口膠,,,因口香糖成分具有膠質物，因此大陸、港澳地區稱為「香口膠」或「口膠」。
食,食材食品,,,大滷麵,,,打滷麵,,,,,,,,,
食,食材食品,ㄊㄞˋ　ㄅㄞˊ　ㄈㄣˇ,tài bái fěn,太白粉,,,生粉,芡粉,澱粉,生粉,豆菱粉,,生粉,豆菱粉,,大陸、港澳使用的「生粉」，原料多以玉米粉、蠶豆粉、菱角粉等為主。除了在烹調中用於上漿勾芡之外，也經常做為軟化肉質的醃肉材料。而大陸的「芡粉」和「澱粉」原料除馬鈴薯粉之外，還包括綠豆粉、菱角粉、麥粉或藕粉、葛粉、馬蹄粉等等。
食,食材食品,,,牛奶糖,,,牛奶糖,奶糖,,,,,,,,
食,食材食品,,,奶油,,,奶油,,,奶油,忌廉,,奶油,忌廉,,
食,食材食品,,,布丁,,,布丁,,,布甸,,,布甸,,,
食,食材食品,,,玉米粥,,,玉米粥,苞米粥,,,,,,,,
食,食材食品,,,皮蛋,松花皮蛋,松花蛋,松花蛋,松花,變蛋,,,,,,,
食,食材食品,ㄅㄧㄥ　ㄑㄧˊ　ㄌㄧㄣˊ,bīng qí lín,冰淇淋,,,冰淇淋,冰激凌,冰激淋,雪糕,,,雪糕,,,
食,食材食品,,,冰棒,,,冰棍,冰棒,,,,,,,,
食,食材食品,ㄊㄨˇ　ㄙ,tǔ sī,吐司,土司,,吐司,土司,,多士,方包,切片包,方包,多士,,「吐司」和「土司」都是英語Toast的音譯。港澳地區粵語音譯為「多士」。因為吐司烤製好時，是一個白色的長方體，所以被稱為「方包」，又因為吐司通常切片食用，故稱為「切片包」。
食,食材食品,ㄉㄧ　ㄋㄚˋ　ㄧㄢˊ,dī nà yán,低鈉鹽,,,低鈉鹽,代用鹽,,,,,,,,
食,食材食品,,,冷盤,,,涼菜,涼拌菜,,冷盤,,,冷盤,,,
食,食材食品,,,沙其馬,薩其馬,,薩其馬,沙琪瑪,,,,,,,,
食,食材食品,ㄕㄚ　ㄌㄚ,shā lā,沙拉,,,沙拉,色拉,沙律,沙律,,,沙律,,,「沙拉」、「色拉」、「沙律」，都是英文Salad的音譯，因各地方言發音的不同，有稍許變化。「色拉」是Salad的上海話音譯，而「沙律」則是粵語音譯。
食,食材食品,ㄕㄚ　ㄌㄚ　ㄧㄡˊ,shā lā yóu,沙拉油,大豆沙拉油,大豆油,沙拉油,色拉油,沙律油,沙律油,,,沙律油,,,因為沙拉油可以用來調拌沙拉，或打製沙拉醬，所以從英文Salad Oil得名。又因原料是大豆（黃豆），故稱為「大豆沙拉油」。中國大陸和港澳地區對於Salad的音譯有所不同，因此有「色拉油」和「沙律油」等不同的稱呼。
食,食材食品,,,豆花,豆腐腦,,豆花,豆腐腦,豆腐花,豆腐腦,豆腐花,,豆腐腦,豆腐花,,
食,食材食品,,,豆乾,豆腐乾,豆腐干,豆腐乾,香乾兒,,,,,,,,
食,食材食品,,,披薩,,,比薩,比薩餅,,,,,,,,
食,食材食品,ㄕㄥ　ㄌㄧˋ　ㄇㄧㄢˋ,shēng lì miàn,生力麵,泡麵,速食麵,方便麵,快食麵,即食麵,公仔麵,,,公仔麵,泡麵,,1967年臺灣廠商引進日本的雞汁泡麵，以「生力麵」之名推出販售，在市場上引發泡麵旋風，因此「生力麵」成為臺灣泡麵的代名詞。香港於1968年引進泡麵，以「公仔麵」之名上市，「公仔麵」也成為了今日香港當地泡麵的泛稱。
食,食材食品,,,芝麻球,,,芝麻球,麻團,,,,,,,,
食,食材食品,,,便當,飯盒,,盒飯,,,盒飯,飯盒,,盒飯,飯盒,,
食,食材食品,,,洋芋片,,,薯片,土豆片,,,,,,,,
食,食材食品,,,科學麵,,,乾脆麵,乾吃麵,,,,,,,,
食,食材食品,ㄨ　ㄌㄨㄥˊ　ㄇㄧㄢˋ,wū lóng miàn,烏龍麵,,,烏冬麵,,,烏龍麵,烏冬麵,,烏龍麵,烏冬麵,,「烏龍麵」和「烏冬麵」都是源於日文うどん的音譯。
食,食材食品,,,粉蒸肉,,,米粉肉,,,,,,,,,
食,食材食品,ㄔㄚˊ　ㄨㄢˇ　ㄓㄥ,chá wǎn zhēng,茶碗蒸,,,雞蛋羹,蛋羹,水蒸蛋,茶碗蒸蛋,,,,,,「茶碗蒸」一詞是由日語「茶碗蒸し」而來。臺灣日治時代受日本生活文化的影響，不但烹調做法被本地吸收，且直接使用日本的用詞。
食,食材食品,,,茶葉蛋,,,茶葉蛋,茶雞蛋,,,,,,,,
食,食材食品,ㄑㄧˇ　ㄙ,qǐ sī,起司,乳酪,奶酪,乳酪,奶酪,吉士,乳酪,芝士,,乳酪,芝士,,「起司」、「起士」、「吉士」、「芝士」等稱呼都是來自於英文Cheese的音譯。
食,食材食品,ㄐㄧ　ㄧㄣ　ㄍㄞˇ　ㄗㄠˋ　ㄕˊ　ㄆㄧㄣˇ,jī yīn gǎi zào shí pǐn,基因改造食品,,,轉基因食品,,,基因改造食品,,,基因改造食品,,,
食,食材食品,,,蛋塔,,,蛋撻,,,蛋撻,,,蛋撻,,,
食,食材食品,ㄈㄚ　ㄈㄣˇ,fā fěn,發粉,發泡粉,泡打粉,泡打粉,泡大粉,速發粉,發粉,泡打粉,,發粉,泡打粉,,「發粉」的英文是Baking Powder。「泡打粉」或「泡大粉」，都是從Powder一詞音譯而來。
食,食材食品,,,陽春麵,,,陽春麵,清湯麵,,,,,,,,
食,食材食品,ㄕㄥˋ　ㄉㄞˋ,shèng dài,聖代,,,聖代,,,新地,,,新地,,,「聖代」或「新地」等名稱，都是由英文Sundae一詞音譯而來。
食,食材食品,,,漢堡,,,漢堡,漢堡包,,,,,,,,
食,食材食品,ㄐㄩˇ　ㄖㄨㄛˋ,jǔ ruò,蒟蒻,,,蒟蒻,魔芋,,,,,,,,大陸稱蒟蒻為「魔芋」，而魔芋所做的食物也稱「魔芋」。
食,食材食品,ㄍㄞˋ　ㄈㄢˋ,gài fàn,蓋飯,,,蓋飯,蓋澆飯,,碟頭飯,,,碟頭飯,,,港澳地區，因蓋飯經常以盤碟裝盛，因此稱為「碟頭飯」。日本也有類似於蓋飯的食物，稱為「丼物」。
食,食材食品,,,豬油,,,豬大油,大油,,,,,,,,
食,食材食品,ㄧㄡ　ㄍㄜˊ,yōu gé,優格,酸凝酪,,酸奶酪,老酸奶,固體酸奶,,,,,,,"臺灣習慣依凝乳的狀態，分別稱為發酵乳、優酪乳和優格。「優格」特指半凝固乳品，半固體狀，質地細滑，具有獨特的酸味。大陸的「酸奶」是此類乳製品的統稱，液體或半固體狀都可稱作酸奶。酸奶的另外一個意思是指久置發酸的動物乳汁，亦可加糖作為食品飲用，味道酸甜爽口。
「優格」是英文Yogurt或Yoghourt的音譯。"
食,食材食品,ㄧㄡ　ㄌㄨㄛˋ　ㄖㄨˇ,yōu luò rǔ,優酪乳,酸凝酪,,酸凝酪,酸奶,液體酸奶,,,,,,,"臺灣按照凝乳的狀況，分為發酵乳、優酪乳和優格。優酪乳是液態凝乳，質地順滑，優格則為半凝固凝乳。而大陸對於此類發酵凝乳的稱呼，無論固體或液態，統稱為「酸奶」。
「優酪乳」是英文Yogurt或Yoghourt的音譯。"
食,食材食品,,,鮮奶油,,,鮮奶油,,,鮮奶油,鮮忌廉,忌廉,鮮奶油,鮮忌廉,忌廉,
食,食材食品,,,鬆餅,,,鬆餅,華夫餅,,,,,,,,
食,食材食品,,,糯米,,,江米,糯米,,,,,,,,
食,食材食品,ㄙㄨ　ㄉㄚˇ　ㄅㄧㄥˇ　ㄍㄢ,sū dǎ bǐng gān,蘇打餅乾,,,蘇打餅乾,梳打餅,克力架,梳打餅,克力架,,克力架,,,「蘇打餅乾」的英文是Soda Cracker。「蘇打」是Soda的音譯。大陸和香港等地將Soda音譯為「梳打」，因此又稱為「梳打餅」。而英語中Cracker是形容烤製餅乾時發出的清脆聲音，大陸和港澳等地將它音譯為「克力架」。
食,飲料,,,水果酒,,,果酒,果子酒,,,,,,,,
食,飲料,ㄋㄞˇ　ㄐㄧㄥ,nǎi jīng,奶精,,,奶精,咖啡伴侶,,咖啡伴侶,奶精,,,,,「奶精」最早是1961年由雀巢公司生產。引入大陸時，以「咖啡伴侶」為名，逐漸成為奶精的代名詞。
食,飲料,ㄕㄥ　ㄆㄧˊ　ㄐㄧㄡˇ,shēng pí jiǔ,生啤酒,,,生啤酒,生啤,扎啤,生啤,,,生啤,,,大陸稱生啤酒為「扎啤」。扎是英文Jug的音譯，指一種帶著把手的壺或罐。早期歐洲的生啤酒以此種容器散裝販賣，因此得名。
食,飲料,,,冷開水,白開水,,涼白開,,,,,,,,,
食,飲料,ㄐㄧˊ　ㄖㄨㄥˊ　ㄧㄣˇ　ㄌㄧㄠˋ,jí róng yǐn liào,即溶飲料,沖泡飲料,,即溶飲料,速溶飲料,固體飲料,,,,,,,「即溶飲料」在未溶解前呈固體狀，大陸又稱為「固體飲料」。
食,飲料,,,易開罐,,,易拉罐,,,,,,,,,
食,飲料,ㄋㄚˊ　ㄊㄧㄝˇ,ná tiě,拿鐵,拿鐵咖啡,那提,奶特,奶特咖啡,,,,,,,,「拿鐵」和「那提」、「奶特」都是英文Coffee Latte的音譯。
食,飲料,ㄑㄧˋ　ㄆㄠˋ　ㄐㄧㄡˇ,qì pào jiǔ,氣泡酒,,,汽酒,起泡酒,,氣泡酒,,,,,,
食,飲料,,,純水,,,純淨水,,,,,,,,,
食,飲料,,,茶包,,,茶包,袋泡茶,,,,,,,,
食,飲料,ㄏㄟ　ㄎㄚ　ㄈㄟ,hēi kā fēi,黑咖啡,,,清咖啡,,,齋啡,飛沙走奶,,齋啡,黑咖啡,,"因不摻其他調料，大陸稱為清咖啡，而香港稱為齋啡。「齋」是粵語方言，表示不加餡料或其他調味。「齋啡」又常用來戲謔的形容胸圍不夠突出、明顯的女性。
香港又稱黑咖啡為「飛沙走奶」。沙指砂糖，奶為牛奶或煉乳。"
食,飲料,,,黑啤酒,,,黑啤,,,,,,,,,
食,飲料,ㄑㄧˋ　ㄕㄨㄟˇ,qì shuǐ,汽水,碳酸飲料,荷蘭水,汽水,軟性飲料,軟飲,,,,,,,碳酸飲料最早發明於1767年，清末時由歐洲傳入。因當時中國與歐洲的主要通商國為荷蘭，故又稱為「荷蘭水」。大陸所說的「軟性飲料」、「軟飲」是泛指包括碳酸飲料在內，酒精含量低於0.5%的天然或人工調配飲料。
食,飲料,,,熱開水,,,開水,,,,,,,,,
食,生鮮,ㄊㄨˇ　ㄐㄧ,tǔ jī,土雞,放山雞,草雞,土雞,草雞,跑地雞,,,,,,,
食,生鮮,,,白帶魚,,,帶魚,刀魚,,,,,,,,
食,生鮮,ㄔㄤ　ㄩˊ,chāng yú,鯧魚,白鯧,銀鯧,平魚,銀錩,鯧片魚,銀鯧,銀盤鯧,銀盤魚,銀鯧,銀盤鯧,銀盤魚,因顏色銀白，故稱銀鯧或白鯧。因為體型扁平如盤，大陸江浙一帶稱銀鯧為「平魚」或「鯧片魚」，而港澳地區則稱為「銀盤鯧」、「銀盤魚」。
食,生鮮,ㄧㄡˇ　ㄐㄧ　ㄐㄧ　ㄉㄢˋ,yǒu jī jī dàn,有機雞蛋,土雞蛋,放山雞蛋,笨雞蛋,柴雞蛋,土雞蛋,,,,,,,大陸所說的「笨雞蛋」、「柴雞蛋」、「土雞蛋」，指的是農家於野地放養的土雞所下的蛋，因食料來源自然，少了許多如骨粉、生長調節劑等等人工添加劑，因此殼厚蛋清，營養價值較高。
食,生鮮,,,羊大骨,,,羊蝎子,,,,,,,,,
食,生鮮,,,乳牛,,,奶牛,,,,,,,,,
食,生鮮,ㄏㄟ　ㄌㄧㄢˊ,hēi lián,黑鰱,大頭鰱,花鰱,黑鰱,大頭魚,胖頭魚,,,,,,,黑鰱因為頭大體肥，故有「大頭鰱」、「胖頭鰱」、「胖頭魚」、「大頭魚」等稱呼。
食,生鮮,,,豬肉,,,豬肉,大肉,,,,,,,,
食,生鮮,,,豬血,,,豬血,豬紅,,豬紅,,,豬血,豬紅,,
食,生鮮,,,豬蹄,豬腳,,豬蹄,豬手,,豬手,,,,,,
食,生鮮,ㄨㄟˇ　ㄩˊ,wěi yú,鮪魚,,,金槍魚,吞拿魚,,吞拿魚,吞那魚,,吞拿魚,吞那魚,亞冬魚,鮪魚的英文是Tuna Fish，或稱Tuna，粵語音近吞拿，因此稱為「吞拿魚」。澳門地區早期廣泛使用葡萄牙語，音譯為「亞冬魚」。
食,生鮮,ㄍㄨㄟ　ㄩˊ,guī yú,鮭魚,,,鮭魚,三文魚,大馬哈魚,三文魚,,,三文魚,,,鮭魚的英文名字是Salmon，音譯為「三文魚」。
食,蔬果,ㄕㄨㄟˇ　ㄍㄥ　ㄕㄨ　ㄘㄞˋ,,水耕蔬菜,養液栽培,,水培蔬菜,,,,,,,,,
食,蔬果,ㄙˋ　ㄐㄧˋ　ㄉㄡˋ,sì jì dòu,四季豆,菜豆,敏豆,四季豆,架豆,豆角,四季豆,豆角,,四季豆,豆角,,因四季豆是一種外來引入的植物，在南方濕熱地區，四季可生長，故稱「四季豆」，而北方因季節關係，只能生長兩季，因此稱「二季豆」。大陸北方又稱四季豆為「豆角」。
食,蔬果,ㄩˋ　ㄇㄧˇ,yù mǐ,玉米,玉蜀黍,玉茭,玉米,玉蜀黍,包穀,玉米,玉蜀黍,粟米,玉米,玉蜀黍,粟米,在臺灣，閩南語方言稱呼玉米為「番麥」。大陸各地對玉米的稱呼各有不同。港澳地區稱玉米為「粟米」，但粟米一詞在其他地方通常是指小米和稻米。
食,蔬果,ㄧㄡˇ　ㄐㄧ　ㄕㄨ　ㄘㄞˋ,yǒu jī shū cài,有機蔬菜,,,有機蔬菜,生態蔬菜,,,,,,,,因有機蔬菜的栽種，在生產環境和條件上，必須未受汙染，栽培方式天然、配合環境生態，因此大陸又稱為「生態蔬菜」。
食,蔬果,ㄑㄧˊ　ㄧˋ　ㄍㄨㄛˇ,qí yì guǒ,奇異果,,,奇異果,獼猴桃,,奇偉果,奇異果,,奇偉果,奇異果,,
食,蔬果,ㄏㄨㄚ　ㄕㄥ,huā shēng,花生,落花生,土豆,花生,落花生,長生果,花生,落花生,,花生,落花生,,因為花生的生長是子房深入地下一、二吋，發育出莢果，故稱為「落花生」。在臺灣，花生俗稱為土豆。但在大陸，土豆則是指馬鈴薯。
食,蔬果,ㄏㄨㄚ　ㄉㄡˋ,huā dòu,花豆,大紅豆,,花豆,紅腰豆,腎豆,,,,,,,花豆因外皮顏色交雜，故稱花豆。而其形狀如同動物的腎臟，因此又被稱為「腎豆」。
食,蔬果,ㄏㄨㄚ　ㄧㄝˊ　ㄘㄞˋ,huā yé cài,花椰菜,花菜,菜花,花菜,菜花,椰花菜,花椰菜,菜花,椰花菜,花椰菜,菜花,椰花菜,花椰菜大約在19世紀傳入中國，因外觀形狀如花，有「花菜」、「菜花」等稱呼。廣東、香港澳門等地，粵語稱其為「椰花菜」。
食,蔬果,ㄐㄧㄣ　ㄓㄣ,jīn zhēn,金針,金針菜,金針花,金針菜,萱草,黃花菜,金針,黃花菜,,金針,黃花菜,,
食,蔬果,,,柳丁,柳橙,,橙子,,,,,,,,,
食,蔬果,ㄏㄨˊ　ㄌㄨㄛˊ　˙ㄅㄛ,hú luó bo,胡蘿蔔,,,胡蘿蔔,甘荀,,胡蘿蔔,甘荀,,胡蘿蔔,甘荀,,胡蘿蔔原產於地中海，因從胡地傳入中國，味道又像蘿蔔，因此被稱為「胡蘿蔔」。港澳地區又稱作「甘荀」。
食,蔬果,,,草莓,,,草莓,,,草莓,士多啤梨,,草莓,士多啤梨,,
食,蔬果,ㄇㄚˇ　ㄌㄧㄥˊ　ㄕㄨˇ,mǎ líng shǔ,馬鈴薯,洋芋,山藥蛋,馬鈴薯,洋芋,土豆,,,,,,,"馬鈴薯引入中國的時間約在明代，隨後遍植各地，各地都有不同的稱呼。因為形狀如馬鈴或山藥，被稱為「馬鈴薯」或「山藥蛋」、「山藥蛋子」，又因為是由海外引入，所以經常被冠以洋字，如「洋芋」、「洋山芋」、「洋番薯」等等。
大陸稱馬鈴薯為土豆。但土豆一詞在大陸是指馬鈴薯，在臺灣則是指花生。"
食,蔬果,ㄍㄠ　ㄌㄧˋ　ㄘㄞˋ,gāo lì cài,高麗菜,甘藍,藍菜,甘藍,藍菜,包心菜,高麗菜,捲心菜,包心菜,高麗菜,捲心菜,包心菜,高麗菜在各地有多種稱呼，港澳、廣東地區粵語稱其為「椰菜」。但椰菜一詞在臺灣和大陸多數地方所指的是花椰菜，為同名異實用詞。
食,蔬果,ㄊㄧㄢˊ　ㄐㄧㄠ,tián jiāo,甜椒,彩椒,菜椒,甜椒,彩椒,柿子椒,甜椒,三色椒,西椒,甜椒,三色椒,西椒,甜椒外皮顏色多樣，常見紅、黃、綠等顏色，因此稱為「彩椒」或「三色椒」，又因形狀類似柿子或小燈籠，故名「柿子椒」、「燈籠椒」。
食,蔬果,ㄨˊ　ㄉㄨˊ　ㄕㄨ　ㄘㄞˋ,wú dú shū cài,無毒蔬菜,,,無毒蔬菜,保險菜,無公害蔬菜,,,,,,,"「無毒蔬菜」與「有機蔬菜」的差異性在於，有機蔬菜必須全程不使用化學農藥或人工藥劑，且栽種時必須使用自然方式防禦病蟲害的侵襲。而無毒蔬菜是可以少量使用化肥或農藥的。
值得注意的是，大陸所說的「綠色蔬菜」，在臺灣的意思是指綠葉或綠皮的蔬菜。"
食,蔬果,ㄈㄢ　ㄑㄧㄝˊ,fān qié,番茄,,,番茄,西紅柿,洋柿子,西紅柿,番茄,,西紅柿,番茄,,大陸部分地區又稱為「西紅柿」或「洋柿子」。
食,蔬果,,,番薯,地瓜,,地瓜,白薯,紅薯,,,,,,,
食,蔬果,,,紫米,,,黑米,,,,,,,,,
食,蔬果,ㄐㄧㄝˊ　ㄑㄧㄡˊ　ㄨㄛ　ㄐㄩˋ,jié qiú wō jù,結球萵苣,包心萵苣-,西生菜,結球萵苣,結球生菜,捲心窩苣,結球萵苣,包心窩苣,西生菜,結球萵苣,包心窩苣,西生菜,結球萵苣因為外形呈圓球狀，因此臺灣稱之為「包心窩苣」、「球萵苣」，大陸則俗稱稱為「圓生菜」或「球生菜」。在香港、澳門地區，結球萵苣俗稱「西生菜」，用以區別嫩葉萵苣的「唐生菜」。
食,蔬果,ㄨㄣ　ㄕˋ　ㄕㄨ　ㄘㄞˋ,wēn shì shū cài,溫室蔬菜,,,大棚蔬菜,,,,,,,,,「大棚」是一種以塑膠薄膜搭建而成簡易溫室，經常用於蔬果與花卉樹苗等植物栽培，也可以運用於養殖業。搭建大棚所使用的塑膠膜，因材質、成本和所具的特性不同，功能和效果不一。大棚養殖技術自1957年以來，廣泛施行於大陸各地，因此「大棚蔬菜」的種植非常普遍。
食,蔬果,ㄆㄨˊ　ㄊㄠˊ　ㄧㄡˋ,pú táo yòu,葡萄柚,,,西柚,,,西柚,,,西柚,,,
食,蔬果,,,酪梨,,,鱷梨,,,牛油果,鱷梨,酪梨,酪梨,鱷梨,牛油果,
食,蔬果,ㄋㄣˋ　ㄧㄝˋ　ㄨㄛ　ㄐㄩˋ,nèn yè wō jù,嫩葉萵苣,大陸妹,生菜,嫩葉萵苣,生菜,千金菜,油麥菜,生菜,唐生菜,油麥菜,唐生菜,生菜,嫩葉萵苣有各種不同稱呼。因早期傳入中國時價格昂貴，有「千金菜」之稱。此菜蔬早期由中國大陸進口，因物美價廉，被俗稱為「大陸妹」。嫩葉萵苣的臺語稱為「蒿仔菜」或諧音「A菜」，客家語諧音則稱呼為「媚仔菜」。香港稱之為「唐生菜」，用以區別結球萵苣的西生菜。
食,蔬果,,,榛子,榛果,,榛子,,,,,,,,,
食,蔬果,ㄌㄩˋ　ㄏㄨㄚ　ㄧㄝˊ　ㄘㄞˋ,lǜ huā yé cài,綠花椰菜,青花菜,青花苔,青花菜,西蘭花,綠花菜,西蘭花,綠菜花,綠花菜,西蘭花,綠菜花,綠花菜,綠花椰菜在各地有許多不同稱呼。因它是從美國傳入，因此臺灣稱呼為「美國花菜」或「美國青花菜」。且綠花椰菜的花球尖端形狀如同細苔，又被稱為「青花苔」。大陸香港和澳門都稱它為「西蘭花」，因原產於義大利，又俗稱為「義大利芥藍」。
食,蔬果,ㄈㄥˋ　ㄌㄧˊ,fèng lí,鳳梨,波羅,菠蘿,鳳梨,波羅,菠蘿,鳳梨,波羅,菠蘿,鳳梨,波羅,菠蘿,鳳梨又有「波羅」和「菠蘿」的稱呼。大陸部分南方地區，以及新加坡、馬來西亞等地，稱鳳梨為「黃梨」。
食,蔬果,ㄕˋ　ㄐㄧㄚ,shì jiā,釋迦,釋迦果,番荔枝,釋迦果,佛頭果,洋波羅,番荔枝,鬼荔枝,番鬼荔枝,番荔枝,鬼荔枝,番鬼荔枝,釋迦因形狀如佛頭，有「佛頭果」之稱。大陸廣東地區稱為「林檎」。且釋迦的外表與結構，酷似廣西特產水果波羅蜜，又是從國外引進，因此廣西地區稱為「洋波羅」或「假波羅」。香港和澳門則因釋迦外表與荔枝相似，又是被洋人引入，粵語稱為「番荔枝」、「鬼荔枝」或「番鬼荔枝」。
食,蔬果,ㄧㄥ　ㄊㄠˊ,yīng táo,櫻桃,麥英,春櫻,櫻桃,車厘子,,櫻桃,車厘子,,櫻桃,車厘子,,「車厘子」是櫻桃的複數英文Cherries的粵語音譯。
食,蔬果,,,纖維質,,,粗纖維,,,,,,,,,
食,蔬果,,,蘿蔔,菜頭,,蘿蔔,水蘿蔔,,,,,,,,
食,飲食相關,ㄅㄨˋ　ㄓㄢ　ㄍㄨㄛ,bù zhān guō,不沾鍋,,,不粘鍋,,,,,,,,,
食,飲食相關,ㄅㄠˇ　ㄘㄨㄣˊ　ㄑㄧˊ　ㄒㄧㄢˋ,bǎo cún qí xiàn,保存期限,,,保質期,,,,,,,,,大陸的「保質期」和「保存期」的意思不同。「保質期」所指的是商品在正常條件下的品質保證期限，在期限內，生產企業或機構對於商品的品質、食用安全負完全責任，店家可以放心銷售，消費者也可以安全使用。對部分商品來說，「保存期」的期限則超過「保質期」。即使期限超過保質期，不意味商品無法使用，而是品質不能達到原商品的標準。因此對商品來說，即使超過保質期仍可降價銷售，但超過保存期就無法販賣。
食,飲食相關,,,宵夜,消夜,,夜宵,消夜,,,,,,,,
食,飲食相關,,,廚餘,,,廚餘,餐廚垃圾,,,,,,,,
食,飲食相關,,,調理包,,,軟罐頭,,,,,,,,,
食,飲食相關,,,鋁箔包,,,軟包裝,,,,,,,,,
食,飲食相關,ㄙㄡ　ㄕㄨㄟˇ　ㄧㄡˊ,sōu shuǐ yóu,餿水油,,,地溝油,潲水油,,,,,,,,
衣,服飾,T　ㄒㄩˋ,T xù,T恤,,,T恤衫,短袖衫,,,,,,,,「T恤」是音譯英文的T-shirt一詞。大陸地區又稱為「文化衫」，是因為T恤的圖案或文字，經常反映某些文化心理。
衣,服飾,ㄋㄟˋ　ㄉㄚ　ㄎㄨˋ,nèi dā kù,內搭褲,,,打底褲,,,,,,,,,無論是稱為「內搭褲」或「打底褲」，都是以穿著功能來命名，強調它適合搭配外衣或裙褲穿著的功用。
衣,服飾,,,內褲,,,內褲,襯褲,,,,,,,,
衣,服飾,,,太陽眼鏡,,,太陽鏡,,,,,,,,,
衣,服飾,,,平頭,,,平頭,寸頭,板寸,,,,,,,
衣,服飾,,,拉鍊,,,拉鍊,拉鎖,,,,,,,,
衣,服飾,,,雨鞋,,,雨鞋,水鞋,,,,,,,,
衣,服飾,,,背心,,,背心,馬甲,,,,,,,,
衣,服飾,,,風格,,,風格,范兒,,,,,,,,
衣,服飾,,,紋身貼紙,文身貼紙,,紋身貼,文身貼,紋身彩貼,,,,,,,
衣,服飾,ㄒㄩㄥ　ㄓㄠˋ,xiōng zhào,胸罩,奶罩,乳罩,奶罩,乳罩,,奶罩,乳罩,胸圍,奶罩,乳罩,胸圍,
衣,服飾,,,迷你裙,,,迷你裙,超短裙,,,,,,,,
衣,服飾,,,連身裙,連衣裙,,連衣裙,布拉吉,,,,,,,,
衣,服飾,,,短裝,,,短打,,,,,,,,,
衣,服飾,,,短褲,,,短褲,褲衩,,,,,,,,
衣,服飾,,,塑膠鞋,,,膠鞋,,,,,,,,,
衣,服飾,,,楔型鞋,,,坡跟鞋,,,,,,,,,
衣,服飾,,,慕斯,,,摩絲,,,,,,,,,
衣,服飾,,,熱褲,,,緊身短褲,,,,,,,,,
衣,服飾,,,蝴蝶袖,蝙蝠袖,,蝴蝶袖,蝙蝠衫,,雞翼袖,,,雞翼袖,,,
衣,服飾,,,衛生衣,,,棉毛衫,秋衣,,,,,,,,因為通常是入秋天冷後穿著，所以大陸稱為「秋衣」，又稱為「棉毛衫」。臺灣之所以稱之為「衛生衣」，有一說法是來源於日文漢字。
衣,服飾,ㄨㄟˋ　ㄕㄥ　ㄎㄨˋ,wèi shēng kù,衛生褲,,,秋褲,棉毛褲,,,,,,,,因為通常於秋天天涼後開始穿著，所以大陸稱之為「秋褲」，又稱為「棉毛褲」。
衣,服飾,,,遮陽帽,,,遮陽帽,太陽帽,,,,,,,,
衣,服飾,,,髮夾,,,髮卡,,,,,,,,,
衣,服飾,,,髮圈,,,髮圈,頭繩,,,,,,,,
衣,服飾,,,褲裙,,,裙褲,,,,,,,,,
衣,服飾,,,褲襪,,,連襪褲,襪褲,連褲襪,襪褲,,,襪褲,,,
衣,服飾,,,臂章,,,袖標,,,,,,,,,
