總分類,子分類,注音,漢語拼音,臺1,臺2,臺3,陸1,陸2,陸3,香1,香2,香3,澳1,澳2,澳3,差異說明
衣,服飾,ㄩㄣˋ　ㄌㄩˋ　ㄎㄨˋ,yùn lǜ kù,韻律褲,踩腳褲,,踩腳褲,健美褲,踏腳褲,,,,,,,大陸因健美操的緣故，將「韻律褲」稱為「健美褲」。1980年至1990年間極為風行，流行之所至，還產生出「不管多大官，都穿夾克衫；不管多大肚，都穿健美褲」的順口溜。
衣,服飾,,,魔術胸罩,隱形胸罩,NuBra,隱形文胸,硅膠文胸,自黏文胸,,,,,,,「NuBra」是隱形胸罩最初在臺販售時，引進的產品品牌名稱，因為廣泛使用，因此成為隱形胸罩的代稱。又因隱形胸罩的材質使用矽膠，而矽膠在大陸稱為「硅膠」，故俗稱為硅膠文胸。
衣,服飾,,,襯衫,,,襯衫,襯衣,,,,,,,,
衣,清潔美容,ㄑㄩˋ　ㄍㄨㄤ　ㄕㄨㄟˇ,qù guāng shuǐ,去光水,,,洗甲水,,,,,,,,,
衣,清潔美容,ㄖㄡˊ　ㄖㄨㄢˇ　ㄐㄧㄥ,róu ruǎn jīng,柔軟精,衣物柔軟精,,柔順劑,,,,,,,,,
衣,清潔美容,ㄍㄨㄚ　ㄏㄨˊ　ㄉㄠ,guā hú dāo,刮鬍刀,,,剃鬍刀,剃鬚刀,刮臉刀,刮鬍刀,剃鬚刀,,刮鬍刀,剃鬚刀,,
衣,清潔美容,ㄔㄡ　ㄑㄩˇ　ㄕˋ　ㄨㄟˋ　ㄕㄥ　ㄓˇ,chōu qǔ shì wèi shēng zhǐ,抽取式衛生紙,,,抽紙,紙巾,紙抽,,,,,,,
衣,清潔美容,ㄅㄠˇ　ㄒㄧㄢˇ　ㄊㄠˋ,bǎo xiǎn tào,保險套,避孕套,衛生套,安全套,避孕套,,如意套,避孕套,安全套,如意套,避孕套,安全套,「保險套」、「避孕套」、「安全套」、「衛生套」的名稱都強調其避孕和防止性病的功效。港澳、新馬地區又俗稱為「如意套」。
衣,清潔美容,ㄒㄧˇ　ㄇㄧㄢˋ　ㄖㄨˇ,xǐ miàn rǔ,洗面乳,潔面乳,,洗面乳,潔面乳,洗面奶,洗面奶,,,洗面奶,,,
衣,清潔美容,ㄒㄧˇ　ㄈㄚˇ　ㄐㄧㄥ,xǐ fǎ jīng,洗髮精,洗髮乳,洗髮水,洗髮水,洗髮露,洗髮香波,洗頭水,洗髮香波,香波,洗頭水,洗髮香波,香波,"在臺灣，洗髮精雖然多呈液體狀，但因外觀不同而有不同稱呼。通常透明水狀黏稠的被稱為「洗髮水」或「洗髮精」，而黏稠乳狀的則稱為「洗髮乳」。
大陸、香港和澳門所說的「洗髮香波」或「香波」，來源於英文Shampoo的音譯。"
衣,清潔美容,,,紙尿褲,紙尿布,,紙尿褲,紙尿布,尿不濕,,,,,,,
衣,清潔美容,ㄉㄧㄢˋ　ㄏㄨˊ　ㄉㄠ,diàn hú dāo,電鬍刀,電動刮鬍刀,,電鬍刀,電動剃鬚刀,,電鬍刀,,,電鬍刀,,,
衣,清潔美容,ㄇㄨˋ　ㄙ,mù sī,幕絲,,,慕絲,摩絲,,,,,,,,無論是「慕絲」或「摩絲」，都是來源於法文Mousse一詞的音譯。
衣,清潔美容,,,衛生紙,,,衛生紙,廁紙,,,,,,,,
衣,清潔美容,ㄨㄟˋ　ㄕㄥ　ㄇㄧㄢˊ,wèi shēng mián,衛生棉,,,衛生棉,衛生巾,,M巾,,,,,,香港稱為「M巾」，「M」是英文Menstruation的字母縮寫。
衣,清潔美容,,,髮膠,造型膠,定型膠,髮膠,定型膏,啫喱膏,啫喱膏,啫喱水,定型凝膠,啫喱膏,啫喱水,定型凝膠,
衣,清潔美容,,,護髮,,,焗油,,,焗油,,,焗油,,,
衣,清潔美容,ㄏㄨˋ　ㄈㄚˇ　ㄖㄨˇ,hù fǎ rǔ,護髮乳,髮膜,,護髮素,髮膜,護髮膜,護髮乳,護髮膜,焗油,護髮乳,護髮膜,焗油,大陸所說的護髮素，除了指護髮乳之外，也可以指用以讓頭髮順滑的潤絲精。而「焗油」是英文Hot oil的粵語義譯。焗油一詞除了指護髮乳，也有指具有染髮功效的膏狀物。
住,購屋,ㄊㄨˇ　ㄉㄧˋ　ㄙㄨㄛˇ　ㄧㄡˇ　ㄑㄩㄢˊ　ㄓㄨㄤˋ,tǔ dì suǒ yǒu quán zhuàng,土地所有權狀,,,土地所有權證,,,,,,,,,大陸地區因規定土地皆歸國有，人民只有使用權而無所有權，所以購買房屋時，可申請到房屋所有權證和土地使用權證，作為合法使用土地的法律文件。
住,購屋,,,二手屋,中古屋,,二手房,,,,,,,,,
住,購屋,ㄍㄨㄥ　ㄕㄜˋ　ㄇㄧㄢˋ　ㄐㄧ,Gōng shè miàn jī,公設面積,,,公攤面積,公攤建築面積,公攤,公攤面積,公攤建築面積,公攤,,,,
住,購屋,,,公寓,,,公寓樓,,,,,,,,,
住,購屋,ㄍㄨㄥ　ㄎㄞ　ㄒㄧㄠ　ㄕㄡˋ,gōng kāi xiāo shòu,公開銷售,,,開盤,,,,,,,,,「開盤」一詞在臺灣通常指交易所或工會開始交易，例如臺股開盤、期貨市場開盤。但在中國大陸，「開盤」一詞經常用在不動產新建案對外公開銷售上，如一次（期）開盤、二次（期）開盤、開盤銷售價。
住,購屋,,,半成屋,,,準現房,,,,,,,,,
住,購屋,,,平方公尺,,,平方米,平方,平米,,,,,,,
住,購屋,,,成屋,,,現房,,,現樓,,,現樓,,,
住,購屋,,,住宅大樓,住宅大廈,,高層住宅,,,,,,,,,
住,購屋,ㄈㄤˊ　ㄨ　ㄙㄨㄛˇ　ㄧㄡˇ　ㄑㄩㄢˊ　ㄓㄨㄤˋ,fáng wū suǒ yǒu quán zhuàng,房屋所有權狀,建物所有權狀,,房屋產權證書,房產證,,,,,,,,在臺灣，房屋所有權狀的發放由地政事務處所主管。中國大陸的房產證，是購屋者在交易後取得房屋合法所有權文件。主管機關是建設部。
住,購屋,ㄕㄜˋ　ㄑㄩ,shè qū,社區,,,小區,居住小區,住宅小區,,,,,,,
住,購屋,,,臥室,臥房,,臥室,居室,,,,,,,,
住,購屋,ㄐㄧㄢˋ　ㄓㄨˊ　ㄕˇ　ㄩㄥˋ　ㄓˊ　ㄓㄠˋ,jiàn zhú shǐ yòng zhí zhào,建築使用執照,,,竣工驗收合格證,房管局驗收合格證,,,,,,,,大陸的「竣工驗收合格證」是在建築工程完成後，由城市規劃行政主管機關核發。只有取得竣工驗收合格證，房地產行政部門才能核發房產證。
住,購屋,ㄕㄤ　ㄧㄝˋ　ㄓㄨˋ　ㄓㄞˊ　ㄉㄚˋ　ㄌㄡˊ,shāng yè zhù zhái dà lóu,商業住宅大樓,住商大樓,,商住樓,,,,,,,,,臺灣的商業住宅大樓，商用和住宅單位通常不分樓層。大陸的「商住樓」則一律是商務用途在低樓層，住家在高樓層的綜合性大樓。
住,購屋,ㄕㄤ　ㄅㄢˋ　ㄉㄚˋ　ㄌㄡˊ,shāng bàn dà lóu,商辦大樓,商業大樓,辦公大樓,辦公樓,寫字樓,,寫字樓,,,寫字樓,,,「寫字樓」一詞原出於上海方言，後來流傳各地被廣泛使用。
住,購屋,ㄗㄨˇ　ㄏㄜˊ　ㄨ,zǔ hé wū,組合屋,,,活動板房,活動房,,,,,,,,
住,購屋,,,連棟透天厝,連棟透天,,聯排住宅,聯體別墅,,,,,,,,
住,購屋,,,陽臺,,,陽臺,涼臺,,,,,,,,
住,購屋,,,臺階,梯級,梯階,臺階,梯級,,,,,,,,
住,購屋,ㄧㄤˋ　ㄆㄧㄣˇ　ㄨ,yàng pǐn wū,樣品屋,,,樣板房,樣板間,,示範單位,示位,,示範單位,,,香港與澳門把「樣品屋」稱為「示範單位」，但大陸的「示範單位」則是指因表現優良而受到政府嘉獎的績優企業或單位部門。兩者意思完全不同。
住,購屋,ㄒㄩㄝˊ　ㄑㄩ　ㄓㄨˋ　ㄓㄞˊ,xué qū zhù zhái,學區住宅,,,學區房,,,,,,,,,
住,裝修居住,,,天然瓦斯管道,,,燃氣管,燃氣管道,,,,,,,,
住,裝修居住,ㄕㄨㄟˇ　ㄋㄧˊ,shuǐ ní,水泥,洋灰,,水泥,水門汀,士敏土,,,,,,,水泥舊稱「洋灰」，來源是因為水泥自西洋傳來，並依據其外觀命名。水泥的英文為Cement，音譯為「士敏土」，上海方言則音譯為「水門汀」。
住,裝修居住,,,瓦斯費,,,燃氣費,,,,,,,,,
住,裝修居住,ㄉㄧˋ　ㄓㄨㄢ,di zhuān,地磚,,,地磚,地板磚,地面磚,,,,,,,
住,裝修居住,ㄈㄤˊ　ㄉㄠˋ　ㄧㄢˇ,fáng dào yǎn,防盜門眼,防盜眼,門眼,貓眼,窺視鏡,門鏡,防盜門眼,防盜眼,貓眼,防盜門眼,防盜眼,貓眼,
住,裝修居住,,,室內裝潢,,,家居裝修,家裝,,,,,,,,
住,裝修居住,,,建築廢棄物,,,建築垃圾,,,,,,,,,
住,裝修居住,ㄒㄧㄠ　ㄈㄤˊ　ㄕㄨㄢ,xiāo fáng shuān,消防栓,救火栓,,消防栓,消火栓,,街井,消防喉,滅火喉,街井,消防喉,滅火喉,
住,裝修居住,ㄑㄧㄤˊ　ㄏㄨㄚˋ　ㄅㄛ　ㄌㄧˊ,qiáng huà bō lí,強化玻璃,,,鋼化玻璃,,,,,,,,,
住,裝修居住,,,累進電價,,,階梯電價,,,,,,,,,
住,裝修居住,ㄌㄨㄛˋ　ㄕㄨㄟˇ　ㄊㄡˊ,luò shuǐ tóu,落水頭,,,地漏,,,,,,,,,大陸使用的「地漏」是由英文Floor Drain一詞義譯而來。
住,裝修居住,,,補土,,,膩子,,,,,,,,,
住,裝修居住,,,跳電,,,跳電,跳閘,,,,,,,,
住,裝修居住,,,衛浴設備,,,潔具,,,,,,,,,
住,裝修居住,ㄧㄥ　ㄐㄧㄚˋ,yīng jià,鷹架,,,腳手架,,,腳手架,鷹架,,腳手架,鷹架,,大陸和港澳地區稱鷹架為「腳手架」，是由於搭建和使用時，需要手腳並用，因此而得名。
住,家電用品,DVD　ㄌㄨˋ　ㄈㄤˋ　ㄧㄥˇ　ㄐㄧ,DVD lù fàng yǐng jī,DVD錄放影機,光碟放映機,光碟放影機,影碟機,視盤機,碟機,,,,,,,
住,家電用品,ㄒㄧㄠˇ　ㄦˇ　ㄉㄨㄛ,xiǎo ěr duō,小耳朵,小型衛星電視接收器,衛星碟型天線,小鍋,小鍋蓋,衛星鍋,,,,,,,因衛星訊號接收器的造型如同鍋子或鍋蓋，所以在大陸有「小鍋」、「小鍋蓋」、「衛星鍋」、「衛星小鍋」等各種俗稱。
住,家電用品,,,手機,行動電話,,手機,移動電話,,,,,,,,
住,家電用品,,,卡帶,,,盒帶,音帶,,,,,,,,
住,家電用品,ㄨㄚˇ　ㄙ,wǎ sī,瓦斯,天然氣,天然煤氣,天然氣,煤氣,,石油氣,煤氣,,石油氣,煤氣,,
住,家電用品,ㄨㄚˇ　ㄙ　ㄊㄨㄥˇ,wǎ sī tǒng,瓦斯桶,,,煤氣罐,液化氣罐,,石油氣罐,,,石油氣罐,,,天然氣又稱煤氣，因此瓦斯桶在大陸稱為「煤氣罐」，而天然氣經常與石油相伴而生，因此港澳地區又稱瓦斯桶為「石油氣罐」。
住,家電用品,ㄨㄚˇ　ㄙ　ㄌㄨˊ,Wǎ sī lú,瓦斯爐,,,燃氣灶,煤氣灶,,煤氣爐,煮食爐,,煤氣爐,煮食爐,,天然氣、瓦斯，又稱煤氣，因此瓦斯爐又有「燃氣爐」、「煤氣爐」等稱呼。
住,家電用品,,,吹風機,,,吹風機,電吹風,,風筒,,,風筒,,,
住,家電用品,,,防呆設計,,,防愚設計,,,,,,,,,
住,家電用品,,,直立式冷氣機,落地冷氣機,,立式空調,櫃機,,,,,,,,
住,家電用品,,,抽風機,,,抽風機,排風扇,抽氣機,,,,,,,
住,家電用品,ㄧㄥˋ　ㄒㄧㄤˋ　ㄍㄨㄢˇ,yìng xiàng guǎn,映像管,,,顯像管,,,,,,,,,
住,家電用品,,,重低音喇叭,,,低音砲,,,,,,,,,
住,家電用品,ㄎㄠˇ　ㄒㄧㄤ,kǎo xiāng,烤箱,,,烤箱,電烤箱,,焗爐,電焗爐,,焗爐,電焗爐,,「焗爐」是烤箱的粵語方言，主要流行於港澳一帶。
住,家電用品,ㄎㄠˇ　ㄇㄧㄢˋ　ㄅㄠ　ㄐㄧ,kǎo miàn bāo jī,烤麵包機,,,烤麵包機,自動麵包片烤爐,,多士爐,,,多士爐,,,吐司的英文是Toast，香港、澳門地區粵語音譯為「多士」，而烤麵包機的英文是Toaster，因此粵語音譯為「多士爐」。
住,家電用品,ㄍㄠ　ㄏㄨㄚˋ　ㄓˊ　ㄉㄧㄢˋ　ㄕˋ,gāo huà zhí diàn shì,高畫質電視,,,高清電視,高清晰度電視,,,,,,,,
住,家電用品,,,彩色液晶螢幕,,,彩屏,,,彩芒,,,彩屏,,,
住,家電用品,ㄇㄞˋ　ㄎㄜˋ　ㄈㄥ,mài kè fēng,麥克風,話筒,傳聲筒,麥克風,話筒,微音器,微音器,,,微音器,,,「麥克風」是源於英文Microphone一詞的音譯。
住,家電用品,ㄉㄢ　ㄧㄢˇ　ㄒㄧㄤˋ　ㄐㄧ,dān yǎn xiàng jī,單眼相機,,,單反相機,單反,,單反相機,單反,,單反相機,單反,,
住,家電用品,ㄨˊ　ㄒㄧㄢˋ　ㄉㄧㄢˋ　ㄏㄨㄚˋ,wú xiàn diàn huà,無線電話,,,無繩電話,,,,,,,,,臺灣所說的「無線電話」，也可用於指利用無線電波傳遞語音，可以在移動狀態下，與其他電話使用者通信的系統，例如行動電話。
住,家電用品,ㄉㄧㄢˋ　ㄊㄤ　ㄔˊ,diàn tāng chí,電湯匙,,,熱得快,燒水棒,電熱棒,電湯匙,,,,,,
住,家電用品,,,電話答錄機,,,錄音電話,,,,,,,,,
住,家電用品,ㄉㄧㄢˋ　ㄐㄧㄤ　ㄉㄧㄢˋ　ㄕˋ,diàn jiāng diàn shì,電漿電視,,,等離子電視,,,,,,,,,
住,家電用品,ㄉㄧㄢˋ　ㄍㄨㄛ,diàn guō,電鍋,,,電飯鍋,電飯煲,,電飯煲,,,電飯煲,,,「電飯煲」是電鍋的粵語稱呼，最早流通於香港和廣東一帶，逐漸廣泛流傳使用。
住,家電用品,,,監視器,,,監視探頭,,,,,,,,,
住,家電用品,,,網路線接頭,,,水晶頭,,,,,,,,,
住,家電用品,,,影音製品,,,音像製品,,,,,,,,,
住,家電用品,,,影碟,碟片,,視盤,激光視盤,視頻光盤,,,,,,,
住,家電用品,,,錄放影機,,,錄像機,,,,,,,,,
住,家電用品,,,錄影,,,錄像,,,,,,,,,
住,家電用品,,,錄影帶,,,錄像帶,,,,,,,,,
住,家電用品,,,錄影機,,,錄像機,,,,,,,,,
住,家電用品,,,隨身聽,,,袖珍收音機,,,耳筒機,,,耳筒機,隨身聽,,
住,家電用品,ㄧㄚ　ㄌㄧˋ　ㄍㄨㄛ,yā lì guō,壓力鍋,快鍋,,壓力鍋,壓力煲,高壓鍋,壓力煲,壓力鍋,,壓力煲,壓力鍋,,
住,家電用品,,,雙槽洗衣機,,,雙缸洗衣機,,,,,,,,,
住,疾病症狀,,,A肝,,,甲肝,,,,,,,,,
住,疾病症狀,,,B肝,,,乙肝,,,,,,,,,
住,疾病症狀,,,C肝,,,丙肝,,,,,,,,,
住,疾病症狀,ㄒㄧㄣ　ㄐㄧ　ㄍㄥˇ　ㄙㄜˋ,xīn jī gěng sè,心肌梗塞,,,心肌梗塞,心肌梗死,心梗,,,,,,,
住,疾病症狀,,,心律不整,,,心律不整,房顫,心律不齊,,,,,,,
住,疾病症狀,ㄌㄠˇ　ㄏㄨㄚ　ㄧㄢˇ,lǎo huā yǎn,老花眼,老花,,老花眼,老花,老視眼,老花眼,老花,,,,,
住,疾病症狀,ㄎㄨㄤˊ　ㄋㄧㄡˊ　ㄓㄥˋ,kuáng niú zhèng,狂牛症,牛海綿樣腦症,,瘋牛病,牛腦海綿狀病,,,,,,,,
住,疾病症狀,ㄏㄤˊ　ㄉㄧㄥ　ㄉㄨㄣˋ　ㄕˋ　ㄨˇ　ㄉㄠˋ　ㄓㄥˋ,háng dīng dùn shì wǔ dào zhèng,杭丁頓式舞蹈症,杭丁頓式症,亨丁頓舞蹈症,亨廷頓式舞蹈病,亨廷頓病,慢性遺傳舞蹈病,,,,,,,
住,疾病症狀,ㄓㄨˋ　ㄧˋ　ㄌㄧˋ　ㄅㄨˋ　ㄗㄨˊ　ㄍㄨㄛˋ　ㄉㄨㄥˋ　ㄓㄥˋ,zhù yì lì bù zú guò dòng zhèng,注意力不足過動症,注意力缺失症,注意力缺失與過動障礙,注意缺陷與多動障礙,多動症,,過度活躍症,,,注意力不足過動症,注意力不足症候群,,
住,疾病症狀,ㄒㄧˋ　ㄈㄟˋ　ㄅㄧㄥˋ,xì fèi bìng,矽肺病,,,硅肺,塵肺病,,肺塵埃沉著病,,,矽肺病,硅肺,塵肺病,
住,疾病症狀,ㄚ　ㄗ　ㄏㄞˇ　ㄇㄛˋ　ㄓㄥˋ,ā zī hǎi mò zhèng,阿茲海默症,老年痴呆症,老年失智症,阿爾茨海默病,老年性痴呆,早老性痴呆,老年痴呆症,腦退化症,老年腦退化症,阿茲海默症,老人失智症,,無論是「阿茲海默症」或「阿爾茨海默病」，都是英文Alzheimer's Disease的音譯。因病症造成腦部退化，香港地區又有「腦退化症」的稱呼。
住,疾病症狀,ㄊㄨㄟˋ　ㄨˇ　ㄐㄩㄣ　ㄖㄣˊ　ㄓㄥˋ,tuì wǔ jūn rén zhèng,退伍軍人症,,,軍團病,空調病,,退伍軍人病症,,,,,,"「退伍軍人症」得名於1976年，美國退伍軍人在費城參加年度大會後，多人集體患病，因此得名。大陸地區因翻譯不同，命名為「軍團病」，且因其傳染途徑多與冷氣的冷卻供水系統、水塔有關，又稱為「空調病」。
但大陸的「空調病」，在臺灣另有一個意思，指因為吹冷氣，衍生出的疾病，如因吹冷氣感冒、頭痛，或關節痠痛、僵硬、頭暈目眩或頭昏症，又稱為「空調症候群」。兩者名同意異。"
住,疾病症狀,ㄍㄨˇ　ㄘˋ,gǔ cì,骨刺,,,骨刺,骨質增生,,,,,,,,
住,疾病症狀,ㄨㄢˇ　ㄙㄨㄟˋ　ㄉㄠˋ　ㄓㄥˋ　ㄏㄡˋ　ㄑㄩㄣˊ,wǎn suì dào zhèng hòu qún,腕隧道症候群,腕管綜合症,滑鼠手,腕管綜合症,鼠標手,,腕管綜合症,滑鼠手,鼠標手,腕管綜合症,,,
住,疾病症狀,ㄞˋ　ㄗ　ㄅㄧㄥˋ,ài zī bìng,愛滋病,後天免疫缺乏症候群,,艾滋病,獲得性免疫缺陷綜合症,,愛滋病,,,,,,
住,疾病症狀,,,腦栓塞,,,腦栓塞,腦血栓,,,,,,,,
住,疾病症狀,ㄍㄨㄛˋ　ㄉㄨˋ　ㄏㄨㄢˋ　ㄑㄧˋ　ㄓㄥˋ　ㄏㄡˋ　ㄑㄩㄣˊ,guò dù huàn qì zhèng hòu qún,過度換氣症候群,,,過度通氣綜合症,,,,,,,,,
住,疾病症狀,ㄍㄨㄛˋ　ㄇㄧㄣˇ　ㄒㄧㄥˋ　ㄅㄧˊ　ㄧㄢˊ,guò mǐn xìng bí yán,過敏性鼻炎,鼻敏感,,過敏性鼻炎,變異性鼻炎,應變性鼻炎,,,,,,,
住,疾病症狀,ㄧㄢˊ　ㄓㄨㄥˋ　ㄐㄧˊ　ㄒㄧㄥˋ　ㄏㄨ　ㄒㄧ　ㄉㄠˋ　ㄓㄥˋ　ㄏㄡˋ　ㄑㄩㄣˊ,yán zhòng jí xìng hū xī dào zhèng hòu qún,嚴重急性呼吸道症候群,SARS,,嚴重急性呼吸綜合症,傳染性非典型肺炎,非典,沙示,沙斯,沙士,沙士,,,「嚴重急性呼吸道症候群」在中國大陸，最早被稱為「非典型肺炎」，因此縮稱為「非典」。其英文全稱為Severe Acute Respiratory Syndrome，縮稱SARS，各地經常將SARS音譯為各種名稱，如薩斯、沙士。
住,生理器官,ㄋㄟˋ　ㄈㄣ　ㄇㄧˋ,nèi fēn mì,內分泌,荷爾蒙,賀爾蒙,荷爾蒙,激素,,荷爾蒙,賀爾蒙,,荷爾蒙,賀爾蒙,,「荷爾蒙」或「賀爾蒙」，都是英文Hormone的音譯。
住,生理器官,,,白血球,,,白細胞,,,,,,,,,
住,生理器官,ㄅㄧㄢˇ　ㄊㄠˊ　ㄒㄧㄢˋ,biǎn táo xiàn,扁桃腺,,,扁桃體,,,,,,,,,大陸舊時稱「扁桃腺」，現在普遍稱為「扁桃體」。
住,生理器官,,,紅血球,,,紅細胞,,,,,,,,,
住,生理器官,,,攝護腺,前列腺,,前列腺,,,,,,,,,
住,醫療機構與服務,ㄐㄧㄚ　ㄏㄨˋ　ㄅㄧㄥˋ　ㄈㄤˊ,jiā hù bìng fang,加護病房,,,重症監護病房,監護病房,重症監護室,深切治療部,深切治療病房,加護病房,深切治療部,深切治療病房,加護病房,「加護病房」或「重症監護病房」、「深切治療部」等名詞，都是從英文Intensive Care Unit（縮寫為ICU）翻譯過來的詞彙，因翻譯時選用詞不同，而產生不同的稱呼。
住,醫療機構與服務,,,批價,,,劃價,,,,,,,,,
住,醫療機構與服務,,,私人醫院,私人診所,,個體醫院,個體診所,,,,,,,,
住,醫療機構與服務,,,特別護士,,,特護,,,,,,,,,
住,醫療機構與服務,,,診療室,,,診療室,診室,,,,,,,,
住,醫療機構與服務,,,榮民醫院,,,榮軍醫院,,,,,,,,,
住,醫療機構與服務,,,衛生所,,,保健站,衛生保健站,衛生所,,,,,,,
住,醫療機構與服務,,,養老院,,,敬老院,托老所,,,,,,,,
住,檢查治療,OK　ㄅㄥ,OK bēng,OK繃,,,創可貼,,,,,,,,,OK繃原是美國嬌生公司研發的商品，原名為「Band-Aid」。於日本推出時，考量到日人發音與接受度，更名為「OK Band」。臺灣受日本的影響，承接此名，音譯為OK繃。
住,檢查治療,,,水療,,,浴療,,,,,,,,,
住,檢查治療,ㄈㄤˋ　ㄕㄜˋ　ㄒㄧㄢˋ　ㄓˋ　ㄌㄧㄠˊ,fàng shè xiàn zhì liáo,放射線治療,,,放射治療,放療,,,,,,,,「放射線治療」或「放射治療」都是英文Radiation Therapy的義譯，「放療」則是放射治療的縮稱。
住,檢查治療,,,放射線治療,放射線療法,,放射療法,放療,,,,,,,,
住,檢查治療,,,捐血,,,捐血,獻血,無償獻血,捐血,,,捐血,,,
住,檢查治療,,,胸部X光片,,,胸片,,,,,,,,,
住,檢查治療,ㄒㄩㄥ　ㄑㄧㄤ　ㄙㄠˇ　ㄇㄧㄠˊ,xiōng qiāng sǎo miáo,胸腔掃描,胸腔電腦斷層檢查,,胸透,,,,,,,,,
住,檢查治療,,,健康檢查,健檢,體檢,體檢,查體,,驗身,,,驗身,,,
住,檢查治療,,,婚前健康檢查,,,婚前健康檢查,婚檢,,,,,,,,
住,檢查治療,,,康復醫學,,,復健醫學,,,,,,,,,
住,檢查治療,ㄘㄞˇ　ㄙㄜˋ　ㄔㄠ　ㄧㄣ　ㄅㄛ,cǎi sè chāo yīn bō,彩色超音波,,,彩超,,,,,,,,,
住,檢查治療,ㄔㄠ　ㄧㄣ　ㄅㄛ,chāo yīn bō,超音波,超音波掃描,,B超,B型超聲檢查,二維超聲,,,,,,,大陸所說的「B超」是「B型超聲檢查」的簡稱，是英文B-ultrasonic義譯。所指功能僅侷限於掃描診斷，並不包含醫療功能，意同臺灣所說的「超音波掃描」。
住,檢查治療,ㄅㄧˊ　ㄨㄟˋ　ㄍㄨㄢˇ,bí wèi guǎn,鼻胃管,,,鼻飼管,,,,,,,,,
住,檢查治療,ㄅㄧˊ　ㄨㄟˋ　ㄍㄨㄢˇ　ㄍㄨㄢˋ　ㄕˊ,bí wèi guǎn guàn shí,鼻胃管灌食,,,鼻飼,,,,,,,,,
住,檢查治療,,,墮胎,人工流產,,人工流產,人流,,,,,,,,
住,檢查治療,,,驗尿,,,尿檢,,,,,,,,,
住,檢查治療,,,體溫計,,,體溫表,,,,,,,,,
住,藥物毒素,,,止痛劑,止痛藥,鎮痛劑,鎮痛藥,,,,,,,,,
住,藥物毒素,ㄍㄨˇ　ㄎㄜ　ㄐㄧㄢˇ,gǔ kē jiǎn,古柯鹼,古加鹼,快克,古柯鹼,可卡因,,,,,,,,「古柯鹼」或「可卡因」，都來源於英文原名Cocaine或Cocain的音譯。
住,藥物毒素,ㄢ　ㄈㄟ　ㄊㄚ　ㄇㄧㄥˋ,ān fēi tā mìng,安非他命,安非他明,冰毒,冰毒,安非他明,,,,,,,,「安非他命」和「安非他明」來自於其英文Amphetamine的音譯。
住,藥物毒素,ㄒㄧˋ　ㄐㄧㄠ,xì jiāo,矽膠,,,硅膠,,,矽膠,硅膠,,,,,「硅」是「矽」的舊譯。中國大陸今日仍然使用。
住,藥物毒素,ㄚ　ㄙ　ㄆㄧ　ㄌㄧㄥˊ,ā sī pī ling,阿斯匹靈,阿司匹靈,,阿斯匹林,阿司匹林,,阿士匹靈,,,阿斯匹靈,阿士匹靈,阿斯匹林,「阿斯匹靈」是英文Aspirin的音譯，在臺灣、大陸與港澳地區的名稱，因翻譯用字的不同，各有些微差異。
